Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
4-Aug-13,4-Aug-13,,"near al-Samarrai Mosque, east Baghdad",mosque,roadside bomb,2,2
4-Aug-13,4-Aug-13,PM,"Khayat, Ur, east Baghdad",civilians,roadside bomb,1,2
3-Aug-13,3-Aug-13,AM,"Amil, southwest Baghdad",car parts shops,roadside bomb,2,2
3-Aug-13,3-Aug-13,,near Baquba,,gunfire,1,1
3-Aug-13,3-Aug-13,,Baghdad,market and main road,two bombs,3,3
3-Aug-13,3-Aug-13,,"Qal'ah Arab Jabour, north of Muqdadiyah",male as he was leaving his home,gunfire,1,1
3-Aug-13,3-Aug-13,,"near the Notary Department, Engineers neighbourhood, Baquba",police patrol or family home,roadside bomb,1,1
3-Aug-13,3-Aug-13,PM,central Falluja,policeman as he was leaving his home,drive-by shooting,1,1
3-Aug-13,3-Aug-13,AM,"Hamam al-Alil, south of Mosul",judge's bodyguards while travelling in their private car,gunfire,2,2
3-Aug-13,3-Aug-13,AM,"near Barwana, 10 km northeast of Baquba",imam of Sunni mosque,roadside bomb,1,1
3-Aug-13,3-Aug-13,PM,"Salamiya, 30 km southeast of Mosul","police checkpoint or patrol, policeman killed",automatic weapons,1,1
3-Aug-13,3-Aug-13,AM,"Abu Khamis, south of Buhriz",wife and adult daughters of former Sahwa member in their home,gunfire,3,3
3-Aug-13,3-Aug-13,PM,"Abu Dsher or Dora, south Baghdad","police patrol or market, civilians killed",roadside bomb,1,2
3-Aug-13,3-Aug-13,,"Shuhada Street, central Tikrit",man and his 11-year-old son near their shop,roadside bomb,2,2
3-Aug-13,3-Aug-13,AM,"Abu Sayda, near Muqdadiya","brothers who were former Sahwa fighters, as they were working on their farm",machine-gun fire,2,2
3-Aug-13,3-Aug-13,,"Muqdadiya, northeast of Baquba","Sahwa checkpoint, Sahwa members killed",gunfire,3,3
2-Aug-13,2-Aug-13,,near Mosul,police in their car,roadside bomb,2,2
2-Aug-13,2-Aug-13,,Tal Afar,policeman at checkpoint,gunfire,1,1
2-Aug-13,2-Aug-13,12.00 pm,"Baaj, west of Mosul",civilians,bomb,2,2
2-Aug-13,2-Aug-13,,central Falluja,"Sheikh Rahim al-Zawbaie, al-Ameriya Sahwa leader, in his car",gunfire,1,1
2-Aug-13,2-Aug-13,5.00 to 6.00 am,"Adhamiya, Baghdad",civilians in commercial street,roadside bomb,3,3
2-Aug-13,2-Aug-13,,central Samarra,body of young man found,strangled,1,1
2-Aug-13,2-Aug-13,PM,"Wasiti, south Kirkuk",security agent,sniper-fire,1,1
2-Aug-13,2-Aug-13,,southwest Touzhormatoo,policeman,sniper-fire,1,1
2-Aug-13,2-Aug-13,PM,Abu Ghraib,"Haj Mohammed Alwan Mamouri, as his son was being arrested",beaten with rifle butts by SWAT forces,1,1
2-Aug-13,2-Aug-13,PM,"Faw, south of Basra",woman and her child,stabbed,2,2
2-Aug-13,2-Aug-13,PM,"Morocco Street, north Baghdad",generator owner,bomb,1,1
30-Jul-13,1-Aug-13,,south Mosul,"body of policeman found shot in the head and chest, two days after he had been kidnapped","gunfire, executed",1,1
1-Aug-13,1-Aug-13,,"Zubair, west of Basra",crane driver working for a private company,drive-by shooting,1,1
1-Aug-13,1-Aug-13,PM,"the international highway near Rottbah, west Anbar",police at checkpoint,drive-by shooting,2,2
31-Jul-13,1-Aug-13,,"Dhubat or Hurria, Muqdadiya","Raad Hadi al-Tamimi, employee at the Ministry of Health, at his home",roadside bomb,1,1
1-Aug-13,1-Aug-13,12.00 pm,"Shora, south of Mosul","police patrol, policeman killed",roadside bomb,1,1
1-Aug-13,1-Aug-13,PM,Shora,"guard employed at Badush prison, outside his home",gunfire,1,1
1-Aug-13,1-Aug-13,PM,central Samarra,"Sahwa member and his brother, in a car",drive-by shooting,2,2
1-Aug-13,1-Aug-13,PM,"Jurf al-Sakhar, 45 km northwest of Hilla",clothes peddlers,gunfire,2,2
1-Aug-13,1-Aug-13,PM,"Nahrwan, southeast Baghdad",civilians,roadside bomb,1,1
1-Aug-13,1-Aug-13,PM,"Shuhada, south Falluja","captain in Babil police, in front of his home",drive-by shooting,1,1
1-Aug-13,1-Aug-13,PM,"Yarmouk, west Baghdad",popular cafe,bomb,1,5
1-Aug-13,1-Aug-13,PM,"Jerusalem, east Mosul",worker in mobile phone shop,gunfire,1,1
1-Aug-13,1-Aug-13,PM,"Aden, east Mosul",tyre repairer,gunfire,1,1
1-Aug-13,1-Aug-13,PM,Hatra,"associate at the Ministry of Defense, his two brothers and two nephews, in their car",roadside bomb,5,5
30-Jul-13,31-Jul-13,around midnight,"Asadullah shrine, Husseiniya, north Baghdad",Shiite shrine,car bomb,6,6
31-Jul-13,31-Jul-13,,northeast of Baquba,,gunfire,2,2
31-Jul-13,31-Jul-13,,"Jorfissakhar, 45 km northwest of Hilla",employee at the Ministry of Defense as he was leaving his home,gunfire,1,1
31-Jul-13,31-Jul-13,,"Amil, southwest Baghdad",civilians,gunfire,1,1
31-Jul-13,31-Jul-13,12.00 pm,"Ur, east Baghdad",civilians in predominantly Shiite area,"drive-by shooting, machine-gun fire",2,4
31-Jul-13,31-Jul-13,,central Mosul,"civilians in an outdoor cafe, 14-year-old girl killed",roadside bomb,1,1
31-Jul-13,31-Jul-13,,"Jazeera, 10 km east of Muqdadiya",civilian near his home,gunfire,1,1
31-Jul-13,31-Jul-13,AM,village 38 km northeast of Baquba,civilian near his home,gunfire,1,1
31-Jul-13,31-Jul-13,,near Baquba,Sahwa member at checkpoint,gunfire,0,1
31-Jul-13,31-Jul-13,12.00 pm,"Alepeshmana, 80 km south of Mosul",taxi driver taking soldiers to their unit,drive-by shooting,1,1
31-Jul-13,31-Jul-13,PM,"Shora, south of Mosul",civilian in front of his home,pistols,1,1
31-Jul-13,31-Jul-13,PM,"the main road opposite Basmaya, southeast of Baghdad",civilians,roadside bomb,4,4
31-Jul-13,31-Jul-13,12.00 pm,"near the district court and Gofran Mosque in Dour, south of Tikrit",policeman killed,car bomb,1,1
31-Jul-13,31-Jul-13,AM,"Nahrawan, east of Baghdad",group of farmers,automatic weapons,2,2
31-Jul-13,31-Jul-13,PM,"between Mahooz and Al-Madeenah, near Hawiga, west of Kirkuk",Sahwa members at checkpoint,automatic weapons,3,4
